University/College,Ratings,Reviews,Source 
VNRVJIET,"5.0
/5",The campus life is very excellent more than what you expected. The will be gender equality between male and female. Equal opportunities are given to the genders. The labs are excellent. There will be every year sports fest in our college and our college teams will go to other sports fest and participate in it. There will be convergence events where there will be fest regarding technologies.,Career360 
Sikkim Manipal Institute of Technology East Sikkim,"5.0
/5","SMIT has one of the best campuses with noise and pollution-free environment, which provides a perfect environment for the students to learn. I have published a paper in SCI journal and was provided with an incentive amount of Rs.1667/-. Also, one of our projects was funded by SMU. SMIT has helped me a lot to grow professionally as well as personally and will be always thankful to this wonderful college.",Career360 
Gateway College of Architecture and Design Sonepat,"5.0
/5",Admission in this college was through NATA and JEE-MAINS score. The minimum cutoff for this college was 70 in NATA while 80 percentile in JEE-MAINS. The admission was conducted in two parts: First was the submission of the Mark sheet and all other documents Second was about the Interview Round which was taken by the director itself. The admission consideration was only about the students who were passionate about Architecture.,Career360 
Gateway College of Architecture and Design Sonepat,"5.0
/5","Firstly i visit college in may then i meet Mohit sir ,he is conseller in gateway college.mohit sir i talked to and dicussed about the gateway college.then all the formality i have completed like documents.that were required was processed in july and then paid first semester fees in july last week and after that college was started in august 5 2019 on Monday.",Career360 
Gateway College of Architecture and Design Sonepat,"5.0
/5","Here in gateway college life or campus life is amazing as we all live like a family here and our teachers are like parents and seniors are like brothers we enjoy studying here too. We all do all the things together, the unity of our college can easily tell others or outsiders that how is the bond between us is. We think as a whole for our betterment and our society.",Career360 
AKTU,"5.0
/5",Faculty of my college is very good they are very talented and they have a lot of knowledge they many time help us when we get demotivated or when they watch our study mark going down they are very good and they help us many time if we contact them after college they also help us then they are very good people and they also take care of us like our guardians,Career360 
SAITM,"5.0
/5","Our faculty ,staff and teacher and just Great. My Branch teacher are the best teachers I can say ..very helpful , explain everything very clearly support us to move forward. The faculty members are highly educated and cooperative.The faculty members are very good. Faculties are highly qualified with Problem solving abilities..They always clear the queries and doubts of every student.. They have good knowledge about the subjects.",Career360 
IMS BHU,"5.0
/5","There are many events celebrated in the college for students like ELIXIR, cultural programmes etc. Every year the college celebrates the foundation day, Independence and Republic Day. There are programmes for teachers, students and the faculty of the college.",Career360 
Rajarshi Shahu College of Pharmacy and Research Pune,"5.0
/5","The campus is awesome with lots of greenery. The gender ratio is equal. Anti-ragging forms are been filled here with a committee. Many extracurricular activities like blood donation camps, Swatchha Bharat Abhiyan, Ban on sigle use plastics are held. Labs are also very good clean with all equipment and chemicals. We have our indoor and outdoor sports competition .Yes debates competitions are held .",Career360 
Vallabh Government College Mandi,"5.0
/5","the financial aid office at a college or career school. a high school or TRIO counselor. the U.S. Department of Labor's FREE scholarship search tool. federal agencies. your state grant agency. your library's reference section. More items...College and University Students. ... The objective of the scheme is to provide financial assistance to the meritorious students having family income of less than Rs. 6 lakh per annum, to meet a part of their day-to-day expenses while pursuing higher studies. PEOPLE ALSO ASK.",Career360 
GEU,"5.0
/5",students can reach the faculty anytime inside the campus during campus timings. and technology has provided us with the messaging sources and mobile phones so students can utilize them in contacting teachers. Teachers are always there to help students and solve their problem whether it is related to study or something else. Teachers are always there to guide students.,Career360 
LCDC,"5.0
/5",Good experience in college life and the campus is also good and boys are more compare to girls and the labs is also very good all the competition are in college organised by college time to time to increase the students moral and they give certificates are also issued by the college,Career360 
New Delhi Institute of Management,"5.0
/5","The events take place almost every week by different clubs. The Industrial and cultural visits to various companies along with alumni meets, and inter college competitions in sports like Badminton and cricket takes place on a regular basis. All the events help students in gaining knowledge and developing themselves.",Career360 
Rakshpal Bahadur College of Pharmacy Bareilly,"5.0
/5",The course curriculum for every course related to pharmacy is governed by PHARMACY COUNCIL OF INDIA. It include the study of drug designing and their pharmacological effects on the body. If anybody is having interest in the feild of medecine or human health it will be a good option to choose pharmacy as a carrier,Career360 
RIT Roorkee,"5.0
/5","Faculties in the college are very helpful and dedicated towards their goals and they take every step and pain to teach us in more innovative ways. they help us in studies, project work and aware us about different internship programs that takes place in different parts of the country.",Career360 
Haridwar University,"5.0
/5","Faculty of the college is really good. All the teachers are highly qualified and teach us with utmost understanding. They are highly skilled and help us in every possible way they can. They never say a no to the students.For such an advanced course designed by the department, it is a necessity for the college to have some of the most experienced, talented and intelligent professors so that we have an in depth knowledge of the subject. Our teachers are amazing in their job and teach us really well with their kind and supportive nature.",Career360 
Rustomjee Academy for Global Careers Mumbai,"5.0
/5","Before entering to the final year, there was a training session on ILTS after training there was exam of English proficiency test, after clearing the test we got the admission in final yea, the exam structure was of assignment submission, and at last we have to submit the Dissertation of 10000 words.",Career360 
Rustomjee Academy for Global Careers Mumbai,"5.0
/5","Before entering to the final year, there was a training session on ILTS after training there was exam of English proficiency test, after clearing the test we got the admission in final yea, the exam structure was of assignment submission, and at last we have to submit the Dissertation of 10000 words.",Career360 
IAAN School of Mass Communication New Delhi,"5.0
/5","First of all, IAAN is affiliated to Makhanlal Chaturvedi National University for Journalism and Mass Communication. And the course Curriculum and exam structure are according to Makhan Lal Chaturvedi Patrkarita Vishwidyalaya. Makhanlal Chaturvedi University running an old syllabus but the practical knowledge which is provided by IAAN is best. IAAN is the 2nd college after IIMC who teaches Artificial Intelligence course.",Career360 
"Dasmesh Girls College, Hoshiarpur",1.5/5,"I was studying B.Sc. Non Medical because of its relevance and my interest. The teaching qualify varies; some professors are excellent, while others lack depth and engagement. While the theoretical knowledge is imparted, the practical skills are lacking.",Career360 
"Deogiri Institute of Technology and Management Studies, Aurangabad",1.5/5,Here academics is good the focus on academics somewhat and personal life more here there are teachers sometime not available in classroom teching is not so good should opt for some course but for not all,Career360 
"Amity University, Mohali",1.5/5,I'm studying B.C.A in this university and the quality of teaching in my opinion is not very up to the mark. The students mostly need external skills to be job ready and the curriculum is not always updated.,Career360 
"Amity University, Mohali",1.5/5,I'm studying B.C.A in this university and the quality of teaching in my opinion is not very up to the mark. The students mostly need external skills to be job ready and the curriculum is not always updated.,Career360 
"Shri Vithal Education and Research Institute's College of Engineering, Solapur",1.5/5,"Waste of time and energy and money. Under the name of discipline, fine is charged even for minute shitty things. Teachers will give you the written notes and you have to mug up only those notes and you will score good. But it does not help you to secure a job.",Career360 
"Shree Dhanvantary College of Engineering and Technology, Surat",1.5/5,The academics is not so good. I am regretting coming to this college. The faculties are not good enough to teach. They are very lazy and they don't sometimes even teachers and at the end we have to teach and study ourselves.,Career360 
"Eswar College of Engineering, Narasaraopet",1.5/5,I pursued engineering degree from this college. Teachers are from the local areas. They are not at all interested in taking lectures. Curriculum not up to date. This definitely not make us job ready.,Career360 
"ICFAI University, Jaipur",1.5/5,"According to me, teachers are qualified and they have knowledge in their subject but their teaching skills are very poor and very strict and does partiality between the topper students and the backbenchers",Career360 
"RE Society's RP Gogate College of Arts and Science and RV Jogalekar College of Commerce, Ratnagiri",1.6/5,The syllabus they teach us in the college is totally outdated. Everything they teach in the college is not at all needed in the actual world. Thus the college has to update their syllabus as soon as possible.,Career360 
"SMD College, Punpun",1.7/5,"I studied history here, and I am a student of batch 2021. Given the college was under Patliputra University it had an updated syllabus that was up to current market demand, though its teaching standard was not up to standard and it didn't made me job ready",Career360 
"Swami Shraddhanand College, Delhi",1.5/5,The teachers were soo careless and irresponsible in there behaviour so don’t think as too educate a students they just spend they time and earning a good amount of salary from the college no projects no learning in studies,Career360 
"CM College, Darbhanga",1.5/5,I studied BA in Hindi honours (2020-2023). The teaching quality is very poor because faculties do not take classes because students do not go to classes they often stay at home rather than going college for classes.,Career360 
"Poornima College of Engineering, Jaipur",1.5/5,"Extremely poor knowledge of faculty except a couple few, students would much rather find it helpful going through youtube videos instead of college lecture, but then again the proctor would start crying about low attendance hahah",Career360 
"Khallikote Autonomous College, Berhampur",1.6/5,Not at all satisfied. Need to improvise on different factors such as presence of techers and facilitating intellectual professors. Thought my department teachers were good enough to hold our department. But there are certain departments where teachers aren't available at all but the course is passed by the organisation.,Career360 
"Punjab Degree College, Faridkot",1.5/5,i have done my b.com there in 2023 and i have experienced very bad quality of study there the teachers were not teaching good there and leave the college after some time they are only completing formalities only and not providing proper study and facility to the students,Career360 
"PES University, Bangalore",1.5/5,1st of all they complete 2 years course in a single year. And their main focus is on syllabus completion. And they don't care about student understandings. Actually even faculty do not have proper knowledge about the course which they handle. They just copy it from W3 school or any other online web sources.,Career360 
"RE Society's RP Gogate College of Arts and Science and RV Jogalekar College of Commerce, Ratnagiri",1.5/5,Academic teaching is poor quality. Syllabus is way older than the current trends in the present market or world. Student has to update himself in order to stay update with the current trends. Faculty is below average.,Career360 
"Future Business School, Kolkata",1.5/5,I don't know how to say it but please don't waste your life and time by taking admission in this college. They will study another thing and in the exam it will come another . So don't believe them they all are ????????,Career360 
University of Lucknow,"0.5
/5","All faculties are outdated and ancient. They are in abysmal condition. There's no wifi in the library, the technology and computers installed are outdated. You cannot enter the library with any book you're supposed to leave all your items outside the library which is hysterical because inside the library there's hardly any updated books one could read. The computer lab is pathetic, the systems carry out dated softwares, they can't support heavy development softwares such as vs code or anaconda for writing code.",Collegedunia
Tamralipta Mahavidyalaya Medinipur,"0.5
/5","The medical campus is about 20 aceres of land which includes teaching buildings, lab facilities, cafeteria, libraries, dormitory volleyball court, basketball court, football ground, indoor stages,cricket ground nd other indoor games court, there are also small small shops inside the campus where uh can get lite refreshments items, wifi facilities are available inside the campus aa well as in dormitories. lab faculties as highly trained and lab equipment are upgraded every accademic year",Collegedunia
Kumaun University SSJ Campus Almora,"0.5
/5",fees is no expensive but not every family this fees/ charges not to be paid is no high expensive .only one year 3000rs for a exam.Soo is not deficult to be paid this charges.fee structure is good and no high expensive. No there are no any additional fees/ charges that had to be paid in order to secure an admission to my college.,Collegedunia
GTBIT,"0.5
/5",I have no other option. My jee mains rank is too low to get higher college so my first and last choice is bahadur institution of technology. I regret to get admission in this college i.e Guru tegh bahadur institution of technology,Collegedunia
SHUATS,"0.5
/5",The course curriculum is updated as per the current requirements. It covers pretty much everything. It is easy as compared to other college. The teachers are also nice and they are ready to help the students in everything.,Collegedunia
GEHU Dehradun,"0.5
/5",For the students of other couses social life is great they dont have to pay for any trips but for our department students have to pay aside from the expensive fees they only took is to the other campus of the college in bhimtal aside from that no trips there is a 3 day grafest every year no fine arts books are there and only the fine arts department is not provided with amenities like ac or wifi plus they started building the department du3the classes in our first semester by building i mean further subdividing those four walls summer is terrible to sit through those little couped up walls.,Collegedunia
Bharati Vidyapeeth University College of Engineering Pune,"0.5
/5","Marketing and sales companies visiting here in our technical college shows how bad the situation is here. Students are placed just to create a fake news and attain a certain rank. Alumni? No one wants to be associated with such college Placement here is a hoax, becoming a guard somewhere will get one more salary.",Collegedunia
Excel College of Engineering and Technology Namakkal,"0.5
/5",Dudh college off placements during the admission time there is no such thing as placement in our collegeplacement cell or replacement department works with no I am of placing the students but this is the guidance of where the job is please don't usually help,Collegedunia
BVM,"0.5
/5","I have heard from the common public that this college is best for mechanical. That's why I chose this college. I was sure for mechanical branch though. If I would have to grade this college on the scale of 10, then I would grade this college 1/10. Infrastructure is extremely poor. Classrooms are poorly ventilated. No facility for the canteen. It doesn't have a proper drainage system which can be clearly seen during the rainy season. Faculties are full of arrogance at least of my branch. Their no proper management of anything on the campus. Very facility for sports equipment and wifi and they collect fees for that even if you utilise these or not. wifi speed is 100-125kbps at max.",Collegedunia
Mumbai University,"0.5
/5","I opted for this college because I saw that an integrated course of Management with MBA is available. I don't like anything about this college. It's the worst. Teachers are biased in every possible way, that is from checking papers to treating children. Campus hygiene is the worst. Toilets are not maintained. Cafeteria is not clean. Classrooms aren't cleaned properly. Lift of college is in repair since the past 4-5 years. College admin is not at all cooperative and don't entertain students much. Any work in the admin will take around a month minimum and can go on for months. There is no placement system in the college. It is there but still no company has ever come in our college for placements. It feels like there is no future in this college. Honestly speaking, every student feels like they are eating their 5 years (3 years grad + 2 years post grad) of life here. I personally want to just get out of this college asap and do something else. I can leave but I am in it just for the degree now. The teaching is also not good. Computer lab's AC vents have stopped working and are infested with rats. There are pigs, snakes, dogs and what not on the campus. Even the water purifier gives stinking water sometimes. The list is very long but I guess, this much is more than sufficient to guess that the college is in such a pathetic condition. The director of the college is very.idk what to say. I don't have words for her. There's not a single good point I have about her. She doesn't know English for god sake.",Collegedunia
St Aloysius College Jabalpur,"0.5
/5","The College annual gathering is a big event with study from all department taking part in it. The event comprise of dance performances,singing performance and plays.There are also seminars on various social, political and economic issue which are held occasionally.",Collegedunia
St Aloysius College Jabalpur,"0.5
/5","I took admission in St. Aloysius college because of its academic curriculum, infrastructure, location and students. I opted for this course to get knowledge about business and commerce. The most likeable thing about college is it's discipline.",Collegedunia
KLE Society's Degree College Bangalore,"0.5
/5","Fees structure for Bcom 55k, 2nd pu 33k, Maybe it might change every year. Scholarship is given for sc and st. I think not more than 5k Also, there are exams for scholarships. Campus selection is excellent, Top companies will recruit us. Companies like Infosys, TCS many top companies.",Collegedunia
KAU Thrissur,"0.5
/5",I choose a course on the basis of my agriculture background. the faculty-student ratio was around 40:1. as you will see you need to see a good environment for education. what you will expect from local art commerce candidates in agribusiness college. simple you will find in ant art commerce and science college. no review they will review themselves excluding the engineering course. as usual.,Collegedunia
Vishveshwarya Group of Institutions Greater Noida,"0.5
/5","I had an interest in computer science engineering but I have fooled again as the college management told me to take admission in Mechanical Department as no vacancy was left in CSE and they told me that in the second year, your branch will be changed and after 1st year they just neglected to admit that they have even said anything like that. No students attend the class and faculty also dont come. Qualification of faculty is also third grade as most of the teachers dont even knkw anything about their own subject. Only semester exams are conducted punctually and that too because they are conducted by the university. College tests and exams are shit as if you dont want to attend the test, you can leave it and it won't affect your result anyhow.",Collegedunia
Bareilly College,"0.5
/5",Atmosphere and environment is very good in the campus many games and cultural activities are there in the college,Collegedunia
Gandhi Institute of Technology and Management Bhubaneswar,"0.5
/5",Yes everything is conducted but apart from other colleges this college will take money for each and every function which they will conduct and if you don't pay then the seniors will torture you.,Collegedunia
GITM Lucknow,"0.5
/5",Campus life was good because of my friends not because of campus there are least fest and activities going on and null participation is there. So its that if you want to waste your college life can take admission here otherwise go in other college,Collegedunia
LPU,"0.5
/5",Bachelor of engineering in computer science have a very big scope. This course is the most popular course among the youth of the world. And computer science is the demand of the future thats why i choose this course and i also recommend it for other students.,Collegedunia
Maharaja Agrasen College,"0.5
/5","As I was from a commerce background so I took this subject - B.com. I got many interesting subjects in this course. The teachers are great and the way of teaching is very different and absolutely great. I have appeared 4th for exams, the papers were easy as I had good knowledge about my subjects.",Collegedunia
DGC Gurugram,"4.2
/5","In the 5th semster the student become eligible for campus placements , the companies visited in our college is - maruti , herohoda and other it companies , and the average pakege 7lpa, and the 70 percentage of student gettting plcements",Collegedunia
AKTU,"1.8
/5","The Faculty member of my college that is FGIET( Feroze Gandhi Institute of Engineering And Technology) was not at all supportive . They were just coming to college for their attendance so that they can get their salary on time. And the faculty members there was almost husband and wife(Almost) . That's why they don't concentrate on the student ..they were Engaged in themselves only. According to me ,the best facalty member is JM Sir ( MR. JITENDRA MISHRA ) . And each and every student of college hostel do like him the most because he's the only geniuine teacher their thosewho understand and support students ...whenever and wherever is needed .. Except JM sir , i do hate everybody their but i dont want to disclose anyone of the name . But i will just say all the faculty is corrupt there expect him 2 sessional test and 1 main exams held in ONE semester.. In the Sessional test - most of the student doesn't even appear and in The Main Sem Exam like everybody do get passed . but in some subjects some students do get back",Collegedunia
University of Kashmir Srinagar,"3.4
/5",most of teachers where very kind and approching but some teachers where rude. i liked my english teacher his name was DR rasik he was kind and knowlagable person .i disliked DR manzoor he was very rude and use to teach out of box things. exam was difficult but almost all students clear the exam apart from 2,Collegedunia
IGNOU,"5.0
/5","college campus life , particulary in hubs like ignou a vibrant mix of acadmice cultural and socail experience often rated as highly energatic and diverse . it is defined by active , friendly students crowds so i was doing distance so i didn't attend any annual fest",Collegedunia
VIT AP,"4.3
/5","Placements are very good almost 200+ companies visited and with very big product based start-ups also viisted and large MNC'S such as infosys, tcs, cognizant, LTM recruited over 1000+ students combinedly. Big product based companies such as zomato, microsoft, amazon, flipkart, swiggy, myntra, google, hp, wells fargo, adobe, oracle , delloite recruit on good numbers. the average packages will be varying from year to year. this year the average package improved and it is nearly 6-7 lpa. Highest package offered was 80+ lpa by a company balkanID follwed by zomato 56lpa. Almost 90% students get placed into full time offers and internships. The only drawback id cgpa will be main criteria for shotlisting so good cgpa i.e 9.00+ will give you a good opputunity to crack product based companies.",Collegedunia
St George College of Management Science and Nursing Bangalore,"5.0
/5","Campus life is enjoyable and offers a good balance between academics and social activities. The college conducts annual cultural and technical fests every year, usually held between February and April, which help students showcase their talents and interact with peers. The library has a decent collection of academic books, journals, and digital resources that are easily accessible to students. Classrooms are equipped with basic technological facilities like projectors and computer labs for practical learning. Sports and extracurricular activities such as indoor games, cultural events, and competitions are regularly encouraged. Student clubs and groups organize events and activities, making campus life more interactive and helping students build confidence and teamwork skills.",Collegedunia
Hirasugar Institute of Technology Belgaum,"4.4
/5","Each and every faculty was very responsive and approchable to each and every student. The name of the faculty i liked specifically are Professor Hirekodi sir who was teaching power electronics and professor yanagimath who was teaching VLSI, Signals and systems,Micro controller because these both professors had extreme knowledge and teaching way was totally different which impressed me lot. The name of the faculties i didnt liked are Professor Amit who was teaching Logic design,Professor Sagar Birade who taught us Analog and electronics, Digital Signal processing because theyused to do some parciality. Total exams for per semester was 3 internals in that they used to take 2 internal averages and 1 lab internal and atlast 1 main theory exam which was conducted by VTU.",Collegedunia
CSJMU,"4.6
/5","There were 60 student in class and they have 1 faculty per 50 students Mr. Rakesh was my best faculty because they taught math and I love math .They taught me math in a very good understanding approach. The way he taught his subject , was very impressive . I dont like evs subject and Mr. Ramesh was taught that subject that's why I did not like. Actually there were 2 exams in a year which was half yearly examination and yearly . There were 60 students and 54 students were passed out of 60. Exam's level was moderate",Collegedunia
BPIT,"2.9
/5",there were many event held annualy in the college where diffrent activities were done by each and every socities of the college curriculum books were provied by the college from the lib u can also access more books whichever u like The aports and extracurricukar activities where not so good,Collegedunia
Acharya Narendra Dev College,"5.0
/5","Our faculty members are very friendly and supportive.We have around 6 Professors, 3 assistant professors and 4 lab assistants with us in our bsc botany course. They help us in solving our doubts and career guidance.They are very supportive and always try to motivate us for a better future. I personally like Dr. Vineet Singh sir, he teaches us Plant Systematics in the semester 2, he is awesome in explaining stuff and a very cool teacher by personality.",Collegedunia
Acharya Narendra Dev College,"3.3
/5",There are many societies in our college and most of them are almost active most of the time I am also in the three societies which I think was really benefitial as they helped in shape up personallity in different aspects.also we have sports day in which competition are held its conducted every year. The library is also good as it has every time of book also some extra like novels journals apart from the syllabus that i feel is a good initiative. The printing shops in the college is also affordable. The fest is also conducted every year in the month of February March that is of two days which we enjoyy a lot create many beautiful memories with friends together,Collegedunia
Delhi Metropolitan Education Noida,"4.0
/5","Campus life is vibrant, well balanced between academics and personal growth. The environment encourages students to actively participate in both academic and extracurricular activities. There are various clubs marketing, HR, Finance, Entrepreneurship. All the clubs are highly active Various competitions , quizzes, B-Plan held regularly Recently our team also won in IIM B plan competition. Annual cultural fest names Aloha held on a large scale celebrating music,dance,drama . Along with that sports competition including both I door and outdoor games are held fostering teamwork and healthy competition. The college library is well equipped and supports both academic and personal learning. Access to journals and research paper also . Also students can issue books. ngo activities are also held. Classrooma are well equipped with projectors.",Collegedunia
KV Institute of Management and Informations Studies Coimbatore,"5.0
/5",60 is the class size so every faculty can be handled with 60 students for one class. Every faculty is assigned with 15 students as mentees where they will be monitoring the student progress in all academic year. Exams are conducted by anna university according to that teachers will handling the class for better understanding of the syllabus,Collegedunia
RNSIT,"4.3
/5","In Our MCA department there were multiple technical fests conducted. They do it so regularly. And annual fests yes they conduct it last year in November called akaknsh. Library is so huge nd has multiple variety of book for educational purpose. The facilities inside the classroom is also good. We have projectors and simple board which is sufficient for any educational institution. And we have good computer labs and good team to handle the labs. Yes there so many sports and extracurricular activities offered. They offer circket, archery, and many more games.",Collegedunia
Acharya Narendra Dev College,"4.0
/5","the faculty to student ratio is good, like 120 students batch, but 30-40 divded in batches, he relationship is good, teachers are approachable and helpful. The labs are well maintained and in good conditions, the library is probably my favorite, the seminar room is the probably the mid part of the clg since its small, the exams are easy not to tough they cover all topics covered in class, mostly students clear with ease if they study in the classrooms",Collegedunia
VIT Bhopal,"3.7
/5","Campus life in my clg is very fun , chill and a little bit disappointed also . Fun and chill because you can freely enjoy with your friends anywhere in the college, like park , canteen , ground . Disappointed because a hostellers can only go for outings only 2-3 times in a month. Advitya is the annual fest in the college, when the fet is going there are sports tournaments, stand up comedians comes to college and dj nights and singer like arman malik came to college.every classroom has a normal board and a smart projector board and wifi .Annual sports happens at the time of the advitya annual fest and every sport is played. Yes there are lot of groups in the college and clubs like haryanvi club and group AI club ,NSS club and lot more.",Collegedunia
VIT Bhopal,"3.7
/5","The faculty to student ratio is moderate, though it can feel high in branches like CSE.Most faculty members are well qualified (PHDs). The curriculum is structured with core subjects, lab works. Marks are divided between internals, mid-term and end-term.",Collegedunia
WCTM,"3.8
/5",Their is a good and very helpful faculty they help in your tasks and your idea motivate you even the students are very good and talented but the thing I don't like is their strict rule and main thing they impose a high fine of 25 k for a little mischief overall faculty and students are good they rules are very strict and fine damn too high,Collegedunia
RNSIT,"4.6
/5","My overall campus life has been postive and engaging. The majaor annual fest like Pantheaon and Parichay are conducted every 2 years. The libraries are well designed and architectured with vast books for researchs and gaining knowledges for thr students. Sports are also provides well opportunities in Inter College Tournaments, like cricket, footaball, volleyboll, badminton, etc.",Collegedunia
SJBIT,"5.0
/5",campus life is not as great as others becz we rae busy in our academics and placement so will not get so much time to spend in night and its completely a strict clg so enjoment is banned in our clg the facilities are top notch so no word abt it anyone who is thinking to join our clg is very lucky enough!,Collegedunia
VIT Bhopal,"3.6
/5","Over-all, campus life here offers a balanced mis of academics and extracurricular activities. Students get good opportunities to socialize through club, fests, and diverse peer groups. While the location and certain hostel restrictions may limit outside exposure, the infrastructure and campus facilities support both personal and professional growth. Your experience largely depends on how you actively you participate and engage in campus activities.",Collegedunia
VIT Bhopal,"4.8
/5","The faculty members in my college are all doctorate they are very supportive and qualified , students can ask doubts easlity after the class , the ratio is also good . the exam system is also well orgainzed , there are internal assessments ,assignment and mid sem along with the final sem exam . the overall system is well organized , the environment is good and helps students grow.",Collegedunia
KMM Institute of Technology and Science Tirupati,"5.0
/5","My overall campus life at Jawaharlal Nehru Technological University has been vibrant and enriching. The social atmosphere is friendly and diverse, helping me build strong friendships and professional networks. The university offers active student clubs, technical societies, cultural teams, and sports activities, which improve leadership and teamwork skills. Infrastructure is well-developed with spacious classrooms, modern labs, a central library, sports grounds, and Wi-Fi facilities, creating a supportive environment for both academic and personal growth.",Collegedunia
VIT Bhopal,"4.3
/5",The main annular fest for VIT bhopal is adVITya which is held in late February every year . It is a mega event with proshows and events organized by all different 100+ clubs and every month several events are organized by different clubs The central library of VIT bhopal offers a huge variety of books ranging from daily magzines to academic books and even comic books There are several sports which are played on campus and there are many competition across several sports whi h are held during this time period which for co curricular activities there are 100+ clubs like drama club and regional clubs which organize events . All clubs are run and functioned by students only with a faculty coordinator they play an important role in college life as it teaches professionalism and teamwork.,Collegedunia
VIT Bhopal,"1.8
/5","My yearly tution fee is rupees 2,00,000(2 Lakh) and if you opt for hostel, then hostel fees is between rupees 1,09,000 to 2,10,100. Your hostel fees depends on the type of room and bed you have chosen. Both the tution fees and hostel fees increase every year, with very little increment in the tution fees but high increment in the hostel fees. Now this tution fees of 2 lakh is not same for everybody. For Category 1 only, it's 2 lakh and for the other categories, Cat- 2 to Cat-5, the fees increases by 1 lakh. So far Cat-2, it is 3 lakh per annum and for Cat-5, it's somewhat 5 Lakh per annum. You also have to pay various other kinds of fees like counselling fee(INR 6000), admission fee(INR 15000), hostel admission fee(INR 15000 refundable fee + INR 17500 non- refundable fee), etc. At the moment, this university has no scholarship scheme of its own.",Collegedunia
SRM University Chennai,"4.0
/5","It has a techinal fest named Arush organised by a club named Arush, Cultural fest named Milan organised by DSA and there are more than 100 of clubs through out the campus, also it has sports club and the classrooms have Ac's smart board and very comfortable chairs and table, the college has a library consisting of 3 floors and consists various books, also if u are the head of any club then it helps in your placement as h can mention it in your resume",Collegedunia
NSUT,"3.1
/5","the total feess was 240000 for my first year, which includes tuitioin fees, university fees, student fund, facilities and service charges, welfare fund (CVSPK), and examination fees.In the second year, the fees increases to 250000, in third it becomes 270000 and 290000 in the forth year.Thus the total fees for the complete 4-year course is 10,.50L approx, with gradual increase per year.Students from SC/ST/OBC and EWS cat can apply for Post Matric Scholarship.",Collegedunia
VIT AP,"4.2
/5","Campus life at VIT-AP University is active and engaging. Annual fest like Vitopia and technical events are usually held in February–March. The library has good books and journals. Classrooms are smart with projectors and Wi-Fi. Sports, clubs, and student portals help social interaction.",Collegedunia
VIT Vellore,"4.6
/5","Vitopia is the main cultural fest conducted in vit and approximately 5000 people will participate in that event with enjoy,fun and there is a huge library in the college with digital and extra curricular activities are also actively participated by students and faculty",Collegedunia
SRM University Chennai,"3.2
/5","i am currently a second-year B.Tech CSE student at SRM Kattankulathur. The yearlly tuition fee for my batch is approximately 4,50,000 under the regular SRNJEEE merit category. In the first year, I paid tuition along with a one time admission and registration fee of around 10,000-15,000 and a refundable caution deposit of about 5,000.",Collegedunia
LPU,"5.0
/5","I am pursuing btech cse from lpu the tutuion fees is around 1 lakh 40 thousand per sem(2 lakh 80 thousand per year) without scholarship. Other compulsory charges include admission and registration fees of 10,000. Lab and development fees are generally included in tution fees. Fees is same for all categories, but SC/ST students can avail scholarship from government. Overall, scholarship help reduce the financial burden",Collegedunia
VIT AP,"4.9
/5",There are three categories in which the fee structures differ the category will be decided based on hom much rank you get in the viteee examination if you join the college through eamcet you should get at least 3000 rank if you have ews to get into the college also if you have PMS eligibility you dont have to pay the tuition fees,Collegedunia
IIBS Bangalore,"4.1
/5","My overall campus experience at IIBS is good. There are students club and extracurricular activities that supports teamwork and leadership development. Since i joined just one month before my first trimester,it was little hectic for me to adjust and participate. Otherwise overall is going good so far.",Collegedunia
LPU,"2.9
/5",Faculty to ratio will be something like 50 students to 1 faculty . It depends on faculty to faculty some are good and approachable and some are not. Dr shubham Mishra our math faculty is only faculty I like because he teaches more better way and doesn't only reads ppt. Manjindet singh my last sem cse111 teacher he was worse didn't know how to teach just used to read ppt . There are typical 2 exam mid tem and end term and Cas which are class test,Collegedunia
VIT Bhopal,"4.0
/5","Tuition Fees - 2,00,000 per year Hostel Fees - 1,30,000 per year Caution Fees - 3,000 This is for category 1, for other categories like 2,3 categories it is higher. Since this college is in Madhya Pradesh, the students who have passed from the state board with a good percentage they are considered as STAR batch and they get scholarship form the college and they don't have to pay the tuition Fees and also the hostel fees which the college covers.",Collegedunia
VIT Bhopal,"3.8
/5",The faculty to Student ratio varies accordingly but it is approx 1:70 There is 100% Doctoral faculties in this college.The faculties are very helpful but some are difficult to reach I liked Dr. Monica Sankat Mam as she teaches very good and help not only in academics but also in personal problems... Many Students say that Prashant Kumar Pandey is not a good teacher as he is very strict in everything but it totally depends on perspective. Every semester There are two exams: Mid term Exams and End term Exams mid terms are easy compared to end terms In every college some students struggle to pass the exams so in this case 5 to 10 % students fail in every class.,Collegedunia
SRM University Chennai,"5.0
/5","I joined B-tech in computer science engineering in management quota and the total feed paid was 3,50,000 per year including hostel fee book fee. I paid admission and registration fee along the tuition charges and refundable caution deposite. In second year the payment mainly consisted of tuition fee, development fee and lab charges and examination",Collegedunia
SRM University Chennai,"4.7
/5",So the semesters you have varies by the branch you take. There s even and odd semester and mostly they are very similar The teacher to student ratio is like 1:50 it varies depending on the branch. Our class personally has 62 students with lateral entries joining recently The internals are in the hands of the professors and are taken either with small tests and other activities. The sem exam is the main one which contains the whole syllabus,Collegedunia
